Salah;Benar
AMIR;AMIN
HALUYA;HALELUYA
TUHAN YESU;TUHAN YESUS
KRISTO;KRISTUS
FIRMAN;FIRMAN TUHAN
SADARA;SAUDARA
YAKOB;YAKOBUS
SOKAR;SAUDARA
Salah,Benar
JAWAPAN,JAWABAN
AMIR,AMIN
AMEN,AMIN
HALUYA,HALELUYA
ALELUYA,HALELUYA
YESU,YESUS
KRISTO,KRISTUS
KRISTOFER,KRISTUS
PELEPASAN,PEMULIHAN
SADARA,SAUDARA
SADARI,SAUDARI
FIRMANA,FIRMAN TUHAN
GREJA,GEREJA
KRISTEN,KRISTUS
ROK,ROH KUDUS
ROH KUDI,ROH KUDUS
ALKITABIAH,ALKITAB
MAJELIS,MAJELIS
KOTBAH,KHOTBAH
KHOTBA,KHOTBAH
BERKAT-MU,BERKATMU
KASI,KASIH
PERSEMBAHAN,PERSEMBAHAN
IPADAH,IBADAH
